./desired/DD-Bjorkas/8_4/204_457/cluster.dat


8200 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types


0.000      50.6432 xlo xhi
0.000      50.6432 ylo yhi
0.000      50.6432 zlo zhi


Atoms

1 1 10.2672 22.9375 13.4347
2 1 11.8507 24.5213 15.0301
3 1 10.2602 22.9343 16.6228
4 1 11.8436 24.5133 18.1976
5 1 10.2465 22.9491 19.7928
6 1 11.8216 24.5356 21.3813
7 1 11.8362 24.5481 24.5472
8 1 10.2337 26.1138 29.3028
9 1 11.8225 24.5287 37.2396
10 1 10.2653 22.949 32.469
11 1 10.2621 26.0984 13.4541
12 1 11.8617 27.6911 15.0404
13 1 10.2419 26.1053 16.6286
14 1 11.8284 27.6918 18.202
15 1 10.235 26.1063 19.7813
16 1 11.8127 27.6954 21.363
17 1 10.2265 26.1114 22.9626
18 1 11.7862 27.7124 24.5325
19 1 10.2264 26.1252 26.1298
20 1 11.7941 27.7075 27.7232
21 1 11.7835 27.7225 30.8923
22 1 13.3994 26.123 35.6487
23 1 13.3848 26.1483 32.4884
24 1 10.187 29.2768 35.649
25 1 10.2562 29.2684 13.4464
26 1 11.8255 30.8457 15.0281
27 1 10.229 29.268 16.6047
28 1 11.8342 30.8569 18.1922
29 1 10.2339 29.2824 19.7696
30 1 11.7977 30.877 21.3426
31 1 10.2042 29.2926 22.9384
32 1 11.7787 30.9048 24.5449
33 1 10.215 29.2948 26.1316
34 1 11.7719 30.8871 27.7127
35 1 11.7897 27.7118 34.0882
36 1 13.3485 29.3078 35.6728
37 1 11.7616 30.8846 34.0717
38 1 11.7823 30.8697 37.2531
39 1 10.266 32.4267 13.4529
40 1 11.8333 34.0194 15.0143
41 1 10.2409 32.4526 16.6146
42 1 11.81 34.0441 18.1788
43 1 10.2252 32.4538 19.7736
44 1 11.7884 34.0439 21.3536
45 1 10.2166 32.4554 22.9473
46 1 11.7831 34.0501 24.5288
47 1 10.1967 32.4554 26.1279
48 1 11.7834 34.0415 27.7175
49 1 10.1949 32.4811 29.3001
50 1 11.7889 34.0544 30.8968
51 1 10.1776 32.4637 32.4807
52 1 11.7844 34.0594 34.0726
53 1 11.7784 34.03 37.2536
54 1 10.2504 35.6029 13.4415
55 1 11.8379 37.193 15.0246
56 1 10.2315 35.6064 16.5997
57 1 11.8204 37.201 18.1995
58 1 10.2317 35.6199 19.7971
59 1 11.8102 37.1993 21.3497
60 1 10.2196 35.6304 22.9532
61 1 10.212 35.6415 26.1287
62 1 10.2059 35.6243 29.3066
63 1 10.1953 35.6334 35.6438
64 1 13.4415 22.9377 13.4708
65 1 15.0096 24.5276 15.0312
66 1 13.431 22.9398 16.6353
67 1 15.0092 24.5263 18.19
68 1 13.4181 22.9366 19.7948
69 1 14.9921 24.5326 21.3635
70 1 13.4077 22.9451 22.9652
71 1 14.9941 24.5534 24.5444
72 1 11.8479 24.5596 27.7048
73 1 18.0273 27.8264 24.4269
74 1 18.1044 24.5431 34.0896
75 1 16.4698 29.389 32.5327
76 1 13.4342 26.0885 13.443
77 1 15.0079 27.6731 15.0396
78 1 13.4202 26.1031 16.6206
79 1 14.9853 27.6852 18.198
80 1 13.4023 26.1128 19.7841
81 1 14.9524 27.7263 21.3404
82 1 13.381 26.1332 22.9481
83 1 13.3576 29.3132 22.928
84 1 13.3961 26.1524 26.1293
85 1 14.9109 27.7716 24.5016
86 1 11.8281 24.5413 30.8998
87 1 13.3252 29.332 29.3065
88 1 10.2571 22.9639 29.2989
89 1 14.9348 27.72 34.102
90 1 13.4199 26.1382 29.3056
91 1 19.6045 29.3965 35.8451
92 1 14.9363 27.7017 37.2582
93 1 18.0606 30.9643 37.2953
94 1 13.4273 29.2689 13.4413
95 1 14.9974 30.857 15.0263
96 1 13.411 29.2691 16.6115
97 1 14.9727 30.8786 18.1725
98 1 13.3893 29.2968 19.7806
99 1 16.5116 32.5127 22.9222
100 1 14.9335 30.9005 21.3301
101 1 14.9072 30.9249 24.4988
102 1 13.3337 29.3287 26.1114
103 1 14.8922 30.9163 27.7043
104 1 11.7648 30.8747 30.9048
105 1 16.4585 29.4076 29.3429
106 1 14.9394 27.7652 30.9283
107 1 14.8972 30.9089 34.1
108 1 14.8887 30.9289 30.9193
109 1 18.1183 34.0701 37.246
110 1 13.421 32.4285 13.4292
111 1 14.988 34.0244 15.0186
112 1 13.4085 32.4417 16.6089
113 1 14.9867 34.0368 18.1674
114 1 13.3794 32.4597 19.769
115 1 14.9496 34.0568 21.3398
116 1 13.3678 32.4784 22.9391
117 1 14.9526 34.0614 24.5252
118 1 13.3507 32.4825 26.1148
119 1 14.923 34.0735 27.7058
120 1 13.3368 32.4855 29.3012
121 1 14.9245 34.0862 30.8955
122 1 13.3387 32.4871 32.4865
123 1 14.9146 34.0804 34.0892
124 1 13.3512 32.4808 35.6776
125 1 14.9381 34.0506 37.2551
126 1 13.4301 35.5867 13.4379
127 1 14.9975 37.1861 15.0137
128 1 13.4158 35.6098 16.6163
129 1 14.9926 37.1929 18.1837
130 1 13.394 35.6317 19.7708
131 1 13.3859 35.6368 22.9438
132 1 13.3743 35.636 26.13
133 1 13.3716 35.6316 29.3101
134 1 13.3629 35.6365 32.4835
135 1 13.3627 35.6405 35.6582
136 1 16.6124 22.9297 13.4672
137 1 18.2006 24.5242 15.0469
138 1 16.6052 22.9471 16.6321
139 1 18.174 24.5234 18.2064
140 1 16.5806 22.954 19.7908
141 1 18.1317 24.5511 21.3604
142 1 16.5602 22.9791 22.952
143 1 18.1378 24.6455 24.5255
144 1 17.9388 24.7987 27.6195
145 1 14.9894 24.5748 30.902
146 1 18.0998 24.6198 30.8873
147 1 18.0698 27.9342 30.9675
148 1 16.5557 22.9247 35.6417
149 1 16.4724 29.3482 35.7208
150 1 16.6029 26.1007 13.4557
151 1 18.1799 27.6869 15.0463
152 1 16.5862 26.1071 16.617
153 1 18.1651 27.6876 18.1824
154 1 16.5571 26.1304 19.7601
155 1 18.1039 27.76 21.332
156 1 16.5275 26.1489 22.9224
157 1 16.4977 29.3537 22.8901
158 1 16.4536 29.3899 26.0729
159 1 16.4778 26.2559 26.095
160 1 19.446 26.4341 29.3309
161 1 20.9847 28.077 31.0099
162 1 20.9152 24.6932 34.2847
163 1 21.3184 27.7011 37.1241
164 1 16.5794 26.1932 32.5191
165 1 16.5912 26.1237 35.6739
166 1 16.5926 29.2555 13.4593
167 1 18.1692 30.8419 15.0239
168 1 16.5814 29.2822 16.6007
169 1 18.152 30.8638 18.1674
170 1 16.5684 29.2957 19.7538
171 1 21.1971 27.8948 24.3106
172 1 18.1365 34.0662 21.3286
173 1 18.0944 30.9222 21.2942
174 1 14.9228 27.7651 27.7143
175 1 19.6576 32.4935 26.1169
176 1 16.5574 26.2654 29.3357
177 1 18.0226 31.0513 30.9378
178 1 19.4666 26.3081 32.5965
179 1 16.4756 32.5158 35.699
180 1 14.9236 30.9038 37.273
181 1 16.5895 32.4427 13.4359
182 1 18.1659 34.0242 15.0224
183 1 16.5821 32.4456 16.6032
184 1 18.1427 34.04 18.1597
185 1 16.5607 32.4814 19.7475
186 1 19.6738 32.5211 22.8959
187 1 18.0756 30.9473 24.4873
188 1 18.1154 34.0667 24.5253
189 1 16.5001 32.52 26.1073
190 1 18.1072 34.0553 27.7056
191 1 16.4826 32.5074 29.2844
192 1 18.1109 34.0019 30.9045
193 1 16.469 32.5258 32.5278
194 1 18.0871 34.0653 34.0715
195 1 19.678 32.5201 35.6942
196 1 21.3176 34.0524 37.2231
197 1 16.5934 35.5973 13.4279
198 1 18.1666 37.1851 15.0262
199 1 16.5748 35.6008 16.5982
200 1 18.1514 37.196 18.1823
201 1 16.5518 35.625 19.7633
202 1 18.148 37.2097 21.3515
203 1 16.5565 35.6435 22.9393
204 1 16.5397 35.6439 26.128
205 1 16.5514 35.6416 29.3018
206 1 16.5445 35.6458 32.4834
207 1 16.5264 35.6399 35.6399
